County,City,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Utility,Count
King,ALL,2023,ALL,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,10725
King,ALL,ALL,TESLA,MODEL 3,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11384
Snohomish,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,11922
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12743
ALL,ALL,2022,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,13773
King,ALL,2023,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),19405
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15240
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,34636
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),32587
ALL,ALL,2023,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,19062
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,16342
ALL,ALL,2023,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12890
King,ALL,2023,TESLA,MODEL Y,ALL,ALL,ALL,10725
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10473
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,31342
King,Seattle,ALL,TESLA,ALL,ALL,ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11347
King,ALL,ALL,TESLA,MODEL Y,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15373
King,ALL,2023,TESLA,ALL,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12037
King,ALL,2023,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,ALL,16086
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16372
King,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,16086
King,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,20999
King,ALL,ALL,TESLA,ALL,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),22763
King,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,19717
ALL,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12273
